,tipo_edicao,orgao,data_publicacao,titulo,url_versao_certificada,ementa
0,Extra,Ministério da Integração e do Desenvolvimento Regional/Secretaria Nacional de Proteção e Defesa Civil,2023-09-10,"PORTARIA Nº 2.862, DE 9 DE SETEMBRO DE 2023",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/09/2023&jornal=602&pagina=1,"Autoriza o empenho e a transferência de recursos ao Município de Muçum-RS, para execução de ações de Defesa Civil."
1,Extra,Ministério da Integração e do Desenvolvimento Regional/Secretaria Nacional de Proteção e Defesa Civil,2023-09-10,"PORTARIA Nº 2.865, DE 9 DE SETEMBRO DE 2023",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/09/2023&jornal=602&pagina=1,"Autoriza o empenho e a transferência de recursos ao Município de Muçum-RS, para execução de ações de Defesa Civil."
2,Extra,Ministério da Integração e do Desenvolvimento Regional/Secretaria Nacional de Proteção e Defesa Civil,2023-09-10,"PORTARIA Nº 2.867, DE 9 DE SETEMBRO DE 2023",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/09/2023&jornal=602&pagina=1,"Autoriza o empenho e a transferência de recursos ao Município de Passa Sete-RS, para execução de ações de Defesa Civil."
3,Extra,Ministério da Integração e do Desenvolvimento Regional/Secretaria Nacional de Proteção e Defesa Civil,2023-09-10,"PORTARIA Nº 2.866, DE 9 DE SETEMBRO DE 2023",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/09/2023&jornal=602&pagina=1,"Autoriza o empenho e a transferência de recursos ao Município de Três Cachoeiras-RS, para execução de ações de Defesa Civil."
4,Extra,Ministério da Integração e do Desenvolvimento Regional/Secretaria Nacional de Proteção e Defesa Civil,2023-09-10,"PORTARIA Nº 2.868, DE 9 DE SETEMBRO DE 2023",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/09/2023&jornal=602&pagina=1,"Autoriza o empenho e a transferência de recursos ao Município de Três Cachoeiras-RS, para execução de ações de Defesa Civil."
5,Extra,Ministério da Integração e do Desenvolvimento Regional/Secretaria Nacional de Proteção e Defesa Civil,2023-09-10,"PORTARIA Nº 2.864, DE 9 DE SETEMBRO DE 2023",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/09/2023&jornal=602&pagina=1,"Autoriza o empenho e a transferência de recursos ao Município de Roca Sales-RS, para execução de ações de Defesa Civil."
6,Extra,Ministério da Integração e do Desenvolvimento Regional/Secretaria Nacional de Proteção e Defesa Civil,2023-09-10,"PORTARIA Nº 2.863, DE 9 DE SETEMBRO DE 2023",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/09/2023&jornal=602&pagina=1,"Autoriza o empenho e a transferência de recursos ao Município de Encantado-RS, para execução de ações de Defesa Civil."
7,Extra,Ministério da Integração e do Desenvolvimento Regional/Secretaria Nacional de Proteção e Defesa Civil,2023-09-10,"PORTARIA Nº 2.874, DE 09 DE SETEMBRO DE 2023",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/09/2023&jornal=602&pagina=2,"Autoriza o empenho e a transferência de recursos ao Município de Estrela-RS, para execução de ações de Defesa Civil."
8,Extra,Ministério da Integração e do Desenvolvimento Regional/Secretaria Nacional de Proteção e Defesa Civil,2023-09-10,"PORTARIA Nº 2.869, DE 9 DE SETEMBRO DE 2023",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/09/2023&jornal=602&pagina=2,"Autoriza o empenho e a transferência de recursos ao Município de Imigrante-RS, para execução de ações de Defesa Civil."
9,Extra,Ministério da Integração e do Desenvolvimento Regional/Secretaria Nacional de Proteção e Defesa Civil,2023-09-10,"PORTARIA Nº 2.873, DE 9 DE SETEMBRO DE 2023",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/09/2023&jornal=602&pagina=2,"Autoriza o empenho e a transferência de recursos ao Município de Cruzeiro do Sul-RS, para execução de ações de Defesa Civil."
10,Extra,Ministério da Integração e do Desenvolvimento Regional/Secretaria Nacional de Proteção e Defesa Civil,2023-09-10,"PORTARIA Nº 2.871, DE 9 DE SETEMBRO DE 2023",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/09/2023&jornal=602&pagina=2,"Autoriza o empenho e a transferência de recursos ao Município de Maquiné-RS, para execução de ações de Defesa Civil."
11,Extra,Ministério da Integração e do Desenvolvimento Regional/Secretaria Nacional de Proteção e Defesa Civil,2023-09-10,"PORTARIA Nº 2.872, DE 9 DE SETEMBRO DE 2023",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=10/09/2023&jornal=602&pagina=2,"Autoriza o empenho e a transferência de recursos ao Município de Nova Bassano-RS, para execução de ações de Defesa Civil."
12,Ordinária,Ministério das Comunicações/Agência Nacional de Telecomunicações/Superintendência de Fiscalização/Gerência Regional nos Estados do Paraná e Santa Catarina,2023-10-05,ATOS DE 2 DE OUTUBRO DE 2023,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=05/10/2023&jornal=515&pagina=5,
13,Ordinária,Ministério das Comunicações/Agência Nacional de Telecomunicações/Superintendência de Fiscalização/Gerência Regional nos Estados do Paraná e Santa Catarina,2023-10-05,ATOS DE 3 DE OUTUBRO DE 2023,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=05/10/2023&jornal=515&pagina=5,
14,Ordinária,Ministério da Agricultura e Pecuária/Secretaria de Defesa Agropecuária/Departamento de Sanidade Vegetal e Insumos Agrícolas/Coordenação do Serviço Nacional de Proteção de Cultivares,2023-10-05,"DECISÃO Nº 82, DE 4 DE OUTUBRO DE 2023",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=05/10/2023&jornal=515&pagina=5,
15,Ordinária,Ministério das Comunicações/Agência Nacional de Telecomunicações/Superintendência de Fiscalização/Gerência Regional no Estado do Rio Grande do Sul,2023-10-05,ATOS DE 29 DE SETEMBRO DE 2023,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=05/10/2023&jornal=515&pagina=6,
16,Ordinária,Ministério das Comunicações/Agência Nacional de Telecomunicações/Superintendência de Fiscalização/Gerência Regional nos Estados do Paraná e Santa Catarina,2023-10-05,ATOS DE 4 DE OUTUBRO DE 2023,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=05/10/2023&jornal=515&pagina=6,
17,Ordinária,Ministério das Comunicações/Agência Nacional de Telecomunicações/Superintendência de Fiscalização/Gerência Regional no Estado de Minas Gerais,2023-10-05,"ATO Nº 13.178, DE 5 DE SETEMBRO DE 2023 | ATO Nº 13.539, DE 14 DE SETEMBRO DE 2023",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=05/10/2023&jornal=515&pagina=6,
18,Ordinária,Ministério do Desenvolvimento Agrário e Agricultura Familiar/Instituto Nacional de Colonização e Reforma Agrária,2023-10-05,"PORTARIA Nº 184, DE 2 DE OUTUBRO DE 2023",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=05/10/2023&jornal=515&pagina=7,"Redução da capacidade do Projeto de Assentamento denominado Egídio Brunetto II, localizado nos municípios de Altair e Guaraci, Estado de São Paulo, sob gestão da Superintendência Regional de São Paulo - SR(SP)."
19,Ordinária,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome/Gabinete do Ministro",2023-10-05,"PORTARIA MDS Nº 923, DE 4 DE OUTUBRO DE 2023",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=05/10/2023&jornal=515&pagina=7,"Altera o Anexo I da Portaria MDS nº 885, de 23 de maio de 2023"
20,Ordinária,Ministério da Cultura/Agência Nacional do Cinema/Superintendência de Fomento/Coordenação de Acompanhamento de Projetos,2023-10-05,"Despacho CAP nº 117-E/SEF/SFO/CAP, DE 4 DE OUTUBRO DE 2023",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=05/10/2023&jornal=515&pagina=7,
21,Ordinária,Ministério da Cultura/Fundação Cultural Palmares,2023-10-05,"PORTARIA FCP Nº 240, DE 3 DE OUTUBRO de 2023",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=05/10/2023&jornal=515&pagina=7,"Altera o art. 3º da Portaria nº 160, de 26 de julho de 2022 que institui a Unidade de Gestão da Integridade no âmbito da Fundação Cultural Palmares - FCP e dá outras providências."
22,Ordinária,"Ministério do Desenvolvimento, Indústria, Comércio e Serviços/Secretaria Executiva",2023-10-05,"PORTARIA SE/MDIC Nº 299, DE 4 DE OUTUBRO DE 2023",http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=05/10/2023&jornal=515&pagina=11,"Prorroga o prazo das atividades do Grupo de Trabalho de Revisão do Simples Nacional, instituído pelo Decreto nº 11.569, de 19 de junho de 2023."
