,tipo_edicao,orgao,data_publicacao,url_versao_certificada,ementa
0,Ordinária,Ministério da Educação/Universidade Federal Rural da Amazônia,2023-01-02,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/01/2023&jornal=515&pagina=34,
1,Ordinária,Ministério da Educação/Instituto Benjamin Constant,2023-01-02,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/01/2023&jornal=515&pagina=29,
2,Ordinária,Ministério da Infraestrutura/Agência Nacional de Transportes Terrestres/Superintendência de Serviços de Transporte Rodoviário de Passageiros,2023-01-02,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/01/2023&jornal=515&pagina=50,
3,Ordinária,Ministério da Saúde/Agência Nacional de Vigilância Sanitária/4ª Diretoria/Gerência-Geral de Inspeção e Fiscalização Sanitária,2023-01-02,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/01/2023&jornal=515&pagina=111,
4,Ordinária,Ministério da Economia/Secretaria Especial da Receita Federal do Brasil/Subsecretaria-Geral da Receita Federal do Brasil/Superintendência Regional da Receita Federal do Brasil 2ª Região Fiscal/Alfândega da Receita Federal do Brasil no Porto de Manaus,2023-01-02,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/01/2023&jornal=515&pagina=26,Habilita a empresa mencionada ao procedimento simplificado de internação.
5,Ordinária,"Ministério da Saúde/Agência Nacional de Vigilância Sanitária/5ª Diretoria/Gerência-Geral de Portos, Aeroportos, Fronteiras e Recintos Alfandegados",2023-01-02,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/01/2023&jornal=515&pagina=116,
6,Ordinária,Ministério da Saúde/Gabinete do Ministro,2023-01-02,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/01/2023&jornal=515&pagina=73,"Renova a qualificação das Unidades Móveis, destinadas ao Serviço de Atendimento Móvel de Urgência (SAMU 192) e mantém os recursos do Bloco de Manutenção das Ações e Serviços Públicos de Saúde - Grupo de Atenção Especializada, incorporados ao limite financeiro de Média e Alta Complexidade (MAC), do Estado de Santa Catarina e Município de Palhoça."
7,Ordinária,Ministério da Saúde/Gabinete do Ministro,2023-01-02,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/01/2023&jornal=515&pagina=82,"Renova a qualificação da Central de Regulação das Urgências (CRU) e das Unidades Móveis destinadas ao Serviço de Atendimento Móvel de Urgência (SAMU 192), deduz e altera os recursos do Bloco de Manutenção das Ações e Serviços Públicos de Saúde - Grupo de Atenção Especializada incorporados ao limite financeiro de Média e Alta Complexidade (MAC) do Estado do Rio Grande do Sul e Município de Caxias do Sul, especifica os valores da habilitação e qualificação e determina devolução de recursos."
8,Ordinária,Ministério da Infraestrutura/Agência Nacional de Aviação Civil/Superintendência de Infraestrutura Aeroportuária/Gerência de Certificação e Segurança Operacional,2023-01-02,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/01/2023&jornal=515&pagina=38,
9,Ordinária,"Ministério da Saúde/Agência Nacional de Vigilância Sanitária/3ª Diretoria/Gerência de Produtos de Higiene, Perfumes, Cosméticos e Saneantes",2023-01-02,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/01/2023&jornal=515&pagina=109,
10,Ordinária,Ministério da Infraestrutura/Agência Nacional de Aviação Civil/Superintendência de Infraestrutura Aeroportuária/Gerência de Certificação e Segurança Operacional,2023-01-02,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/01/2023&jornal=515&pagina=38,
11,Ordinária,Ministério da Saúde/Agência Nacional de Vigilância Sanitária/4ª Diretoria/Gerência-Geral de Inspeção e Fiscalização Sanitária/Coordenação de Autorização de Funcionamento de Empresas,2023-01-02,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/01/2023&jornal=515&pagina=115,
12,Ordinária,Ministério da Saúde/Gabinete do Ministro,2023-01-02,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/01/2023&jornal=515&pagina=69,"Renova a qualificação da Central de Regulação das Urgências (CRU) e das Unidades Móveis destinadas ao Serviço de Atendimento Móvel de Urgência (SAMU 192), deduz e altera os recursos do Bloco de Manutenção das Ações e Serviços Públicos de Saúde - Grupo de Atenção Especializada incorporados ao limite financeiro de Média e Alta Complexidade (MAC) do Estado de Rondônia e Municípios, a título de incentivo e especifica os valores da Habilitação e Qualificação."
13,Ordinária,Ministério de Minas e Energia/Agência Nacional de Mineração/Gerência Regional da ANM no Estado de Mato Grosso do Sul,2023-01-02,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/01/2023&jornal=515&pagina=57,
14,Ordinária,Ministério do Turismo/Gabinete do Ministro,2023-01-02,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/01/2023&jornal=515&pagina=120,Aprova o Regimento Interno do Ministério do Turismo.
15,Ordinária,Ministério da Educação/Universidade Federal de Uberlândia,2023-01-02,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/01/2023&jornal=515&pagina=35,
16,Ordinária,Ministério da Economia/Fundação Escola Nacional de Administração Pública,2023-01-02,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/01/2023&jornal=515&pagina=27,
17,Ordinária,Ministério da Economia/Instituto de Pesquisa Econômica Aplicada,2023-01-02,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/01/2023&jornal=515&pagina=28,"Permuta do Cargo Comissionado Executivo - CCE por Função Comissionada Executiva - FCE de mesmo nível e categoria da Estrutura Regimental e Quadro Demonstrativo dos Cargos em Comissão e das Funções de Confiança do Instituto de Pesquisa Econômica Aplicada - IPEA, aprovada pelo Decreto n° 11.194, de 08 de setembro de 2022."
18,Ordinária,Ministério da Saúde/Gabinete do Ministro,2023-01-02,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/01/2023&jornal=515&pagina=69,"Renova a qualificação da Unidade de Pronto Atendimento (UPA 24h, Dr. Olavo Cavalcante Cardoso) e mantém os recursos do Bloco de Manutenção das Ações e Serviços Públicos de Saúde - Grupo de Atenção Especializada, incorporados ao limite financeiro de Média e Alta Complexidade (MAC), do Estado do Ceará e Município de Crateús."
19,Ordinária,Ministério da Saúde/Gabinete do Ministro,2023-01-02,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/01/2023&jornal=515&pagina=89,
20,Ordinária,Ministério da Saúde/Gabinete do Ministro,2023-01-02,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/01/2023&jornal=515&pagina=64,"Renova a qualificação da Unidade de Pronto Atendimento (UPA 24h, Barcarena) e mantém os recursos do Bloco de Manutenção das Ações e Serviços Públicos de Saúde - Grupo de Atenção Especializada, incorporados ao limite financeiro de Média e Alta Complexidade (MAC), do Estado do Pará e Município de Barcarena."
21,Ordinária,Ministério da Saúde/Agência Nacional de Vigilância Sanitária/4ª Diretoria/Gerência-Geral de Inspeção e Fiscalização Sanitária,2023-01-02,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/01/2023&jornal=515&pagina=111,
22,Ordinária,Ministério da Saúde/Gabinete do Ministro,2023-01-02,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/01/2023&jornal=515&pagina=64,"Renova a qualificação da Unidade de Pronto Atendimento (UPA 24h, Olavo Narakevitz) e mantém os recursos do Bloco de Manutenção das Ações e Serviços Públicos de Saúde - Grupo de Atenção Especializada, incorporados ao limite financeiro de Média e Alta Complexidade (MAC), do Estado de São Paulo e Município de Rio Claro."
23,Ordinária,Ministério da Infraestrutura/Agência Nacional de Aviação Civil/Superintendência de Infraestrutura Aeroportuária,2023-01-02,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/01/2023&jornal=515&pagina=37,
24,Ordinária,Ministério da Educação/Gabinete do Ministro,2023-01-02,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/01/2023&jornal=515&pagina=28,Publica listagem complementar dos atos normativos inferiores a decretos vigentes no âmbito do Ministério da Educação - MEC.
25,Ordinária,Ministério da Saúde/Agência Nacional de Saúde Suplementar,2023-01-02,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/01/2023&jornal=515&pagina=92,Dispõe sobre a Nota Técnica de Registro de Produto.
26,Ordinária,Ministério de Minas e Energia/Secretaria de Planejamento e Desenvolvimento Energético,2023-01-02,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/01/2023&jornal=515&pagina=56,
27,Ordinária,"Ministério de Minas e Energia/Agência Nacional do Petróleo, Gás Natural e Biocombustíveis/Diretoria I/Superintendência de Pesquisa e Desenvolvimento Tecnológico",2023-01-02,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=02/01/2023&jornal=515&pagina=58,
